"country","salis","name"
"Armenia","Armėnija","Armenia"
"Belarus (Belorussia)","Baltarusija","Belarus"
"Georgia","Sakartvelas","Georgia"
"Kazakhstan","Kazachstanas","Kazakhstan"
"Kyrgyzstan","Kirgizija","Kyrgyzstan"
"Russian Federation (Russia)","Rusija","Russia"
"Uzbekistan","Uzbekija","Uzbekistan"
